"      No  MODE    ID(hex)   RTR   DLC    D1    D2    D3    D4    D5    D6    D7    D8   TimeStamp(sec)"
"      79     0        288     0     7    10    BB     0    EB    D9    AB    CD              1589.7049"
"      80     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1590.5442"
"      81     0        288     0     8    55    BB    55    BB    24     0    E6    D2        1590.7043"
"      82     0        288     0     8    D6    E8    44    7A    EC    7F    6D    23        1590.7045"
"      83     0        288     0     8    67    EB    64    8F    AC    9C    85    ED        1590.7046"
"      84     0        288     0     8    EB    CF    24    86    E4    61    72    B7        1590.7047"
"      85     0        288     0     8    F1    DB     0     0     7    4D    AB    CD        1590.7048"
"      86     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1591.5442"
"      87     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1592.5442"
"      88     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1593.5442"
"      89     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1594.5442"
"      90     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1595.5442"
"      91     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1596.5442"
"      92     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1597.5442"
"      93     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1598.5443"
"      94     0        288     0     8    55    BB    55    BB    33     0    B0    6F        1598.5543"
"      95     0        288     0     8    CE    E6    95    F6    C5    62    8E    AC        1598.5545"
"      96     0        288     0     8     C    6D     8    AD    BB    A3     C    E4        1598.5546"
"      97     0        288     0     8     F    15    6E    12    7A    39    4C     2        1598.5547"
"      98     0        288     0     8    68    D6    F6    4C    17    C2    15    C5        1598.5548"
"      99     0        288     0     8    8F    C9    82    46    8F     C    27    55        1598.5549"
"     100     0        288     0     7    B2    F5     0    31    1A    AB    CD              1598.5550"
"     101     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1599.5443"
"     102     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1600.5443"
"     103     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1601.5443"
"     104     0        7FA     0     8    66    BB    66    BB    BB    66    BB    66        1602.5443"
